sample_date_utc,year_month,year,month,day,taxon_name,taxon_group,taxon_per_m3,plankton_type
2018-06-08T23:11:05Z,2018/6,2018,6,8,Oithona spp. j,COPEPOD,0.6667,zooplankton
2018-06-08T23:11:05Z,2018/6,2018,6,8,Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),COPEPOD,0.6667,zooplankton
2018-06-08T23:11:05Z,2018/6,2018,6,8,Chaetognatha,NON-COPEPOD,1.3333,zooplankton
2018-06-08T23:11:05Z,2018/6,2018,6,8,Calanoid j,COPEPOD,3.3333,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Salpidae sol,NON-COPEPOD,0.6667,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Prosobranch,NON-COPEPOD,0.6667,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Calanoid j,COPEPOD,9.3333,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Oikopleuridae,NON-COPEPOD,12.6667,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Paracalanus aculeatus f,COPEPOD,0.6667,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Aglaura hemistoma,NON-COPEPOD,0.6667,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Cavoliniidae body,NON-COPEPOD,0.6667,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Chaetognatha,NON-COPEPOD,3.3333,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Nauplii calanoid,COPEPOD,2,zooplankton
2018-06-09T00:39:45Z,2018/6,2018,6,9,Oithona spp. j,COPEPOD,2,zooplankton
2018-06-09T02:08:24Z,2018/6,2018,6,9,Calanoid j,COPEPOD,4.6667,zooplankton
2018-06-09T02:08:24Z,2018/6,2018,6,9,Cavoliniidae body,NON-COPEPOD,1.3333,zooplankton
2018-06-09T02:08:24Z,2018/6,2018,6,9,Chaetognatha,NON-COPEPOD,2,zooplankton
2018-06-09T02:08:24Z,2018/6,2018,6,9,Prosobranch,NON-COPEPOD,0.6667,zooplankton
2018-06-09T02:08:24Z,2018/6,2018,6,9,Oikopleuridae,NON-COPEPOD,5.3333,zooplankton
2018-06-09T02:08:24Z,2018/6,2018,6,9,Acrocalanus spp. f,COPEPOD,0.6667,zooplankton
2018-06-09T02:08:24Z,2018/6,2018,6,9,Nauplii calanoid,COPEPOD,0.6667,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Calanoid j,COPEPOD,13.3333,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Tortanus barbatus f,COPEPOD,0.6667,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Nauplii calanoid,COPEPOD,0.6667,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Euchaeta spp. f,COPEPOD,0.6667,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Chaetognatha,NON-COPEPOD,4,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Prosobranch,NON-COPEPOD,2,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Salpidae sol,NON-COPEPOD,2,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Cavoliniidae body,NON-COPEPOD,0.6667,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Acrocalanus spp. f,COPEPOD,2,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Calanopia elliptica f,COPEPOD,0.6667,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Calanopia elliptica m,COPEPOD,0.6667,zooplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),COPEPOD,1.3333,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Salpidae sol,NON-COPEPOD,4,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Prosobranch,NON-COPEPOD,0.6667,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Acrocalanus spp. f,COPEPOD,0.6667,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Calanoid j,COPEPOD,14.6667,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Calanopia elliptica f,COPEPOD,0.6667,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Oikopleuridae,NON-COPEPOD,6,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Decapod larvae,NON-COPEPOD,0.6667,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Clausocalanus furcatus f,COPEPOD,0.6667,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Nannocalanus minor m,COPEPOD,1.3333,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Paracalanus aculeatus f,COPEPOD,0.6667,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Brachyuran zoea,NON-COPEPOD,1.3333,zooplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Chaetognatha,NON-COPEPOD,0.6667,zooplankton
2018-09-07T00:53:29Z,2018/9,2018,9,7,Copepod damaged / unidentified,COPEPOD,0.6667,zooplankton
2018-09-07T00:53:29Z,2018/9,2018,9,7,Rhabdonella spiralis,NON-COPEPOD,0.6667,zooplankton
2018-09-07T00:53:29Z,2018/9,2018,9,7,Penilia avirostris,NON-COPEPOD,0.6667,zooplankton
2018-09-07T00:53:29Z,2018/9,2018,9,7,Oikopleuridae,NON-COPEPOD,23.3333,zooplankton
2018-09-07T00:53:29Z,2018/9,2018,9,7,Decapod larvae,NON-COPEPOD,0.6667,zooplankton
