year_month,year,month,day,average_water_temp_C
2018_01,2018,01,31,28.77453571
2018_02,2018,02,28,28.37185455
2018_08,2018,08,31,24.79874333
2018_09,2018,09,30,25.47042903
2018_10,2018,10,31,27.04548
2018_11,2018,11,30,28.29035484
2018_12,2018,12,31,28.20467097
2019_01,2019,01,31,28.69852143
2019_02,2019,02,28,28.34986129
2019_03,2019,03,31,27.45267667
2019_04,2019,04,30,26.2570871
2019_05,2019,05,31,24.64918333
2019_06,2019,06,30,23.57573226
2019_07,2019,07,31,23.39631613
2019_08,2019,08,31,24.01128333
2019_09,2019,09,30,25.03148065
2019_10,2019,10,31,26.11994333
2019_11,2019,11,30,27.70366452
2019_12,2019,12,31,28.73114516
2020_01,2020,01,31,29.42444138
2020_02,2020,02,29,29.00322258
2020_03,2020,03,31,28.20210667
2020_04,2020,04,30,26.65952258
2020_05,2020,05,31,25.29114333
2020_06,2020,06,30,24.92448387
2020_07,2020,07,31,24.96981852
2020_09,2020,09,30,NA
2020_10,2020,10,31,27.32607
2020_11,2020,11,30,28.54188065
2020_12,2020,12,31,29.08482258
