sample_date_utc,year_month,year,month,taxon_name,taxon_group,taxon_per_m3,plankton_type
2015-04-14T22:33:42Z,2015/4,2015,4,Bacteriastrum spp.,Centric diatom,3333.3,phytoplankton
2015-04-14T22:33:42Z,2015/4,2015,4,Thalassiosira spp. 10-20 µm,Centric diatom,3333.3,phytoplankton
2015-04-15T00:23:20Z,2015/4,2015,4,Thalassionema nitzschioides,Pennate diatom,666.7,phytoplankton
2015-04-15T00:23:20Z,2015/4,2015,4,Bellerochea horologicalis,Centric diatom,666.7,phytoplankton
2015-04-15T00:23:20Z,2015/4,2015,4,Thalassiothrix spp.,Pennate diatom,10000,phytoplankton
2015-04-15T00:23:20Z,2015/4,2015,4,Guinardia spp.,Centric diatom,10000,phytoplankton
2015-04-15T00:23:20Z,2015/4,2015,4,Cyanobacteria coccoid chain,Cyanobacteria,6666.7,phytoplankton
2015-04-15T00:23:20Z,2015/4,2015,4,Chaetoceros (Phaeoceros),Centric diatom,3333.3,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Thalassiothrix spp.,Pennate diatom,6666.7,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Trichodesmium spp.,Cyanobacteria,10000,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Tripos macroceros,Dinoflagellate,3333.3,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Coscinodiscus spp.,Centric diatom,666.7,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Bellerochea horologicalis,Centric diatom,666.7,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Odontella spp.,Centric diatom,666.7,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Epiplocylis spp.,Ciliate,3333.3,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Chaetoceros (Phaeoceros),Centric diatom,10000,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Navicula cf. 20-40 µm length,Pennate diatom,3333.3,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Navicula cf. 40-60 µm length,Pennate diatom,3333.3,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Proboscia spp.,Centric diatom,6666.7,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,6666.7,phytoplankton
2015-04-15T02:12:57Z,2015/4,2015,4,Rhizosolenia spp.,Centric diatom,10000,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Spicule,Other,666.7,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Coscinodiscus spp.,Centric diatom,666.7,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Bellerochea horologicalis,Centric diatom,666.7,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Trichodesmium spp.,Cyanobacteria,6666.7,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Thalassiothrix spp.,Pennate diatom,3333.3,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Thalassionema nitzschioides,Pennate diatom,3333.3,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Rhizosolenia spp.,Centric diatom,3333.3,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Proboscia spp.,Centric diatom,3333.3,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Nitzschia spp.,Pennate diatom,3333.3,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Dictyocha fibula,Silicoflagellate,3333.3,phytoplankton
2015-04-15T04:02:34Z,2015/4,2015,4,Chaetoceros (Hyalochaete),Centric diatom,6666.7,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Trichodesmium spp.,Cyanobacteria,3333.3,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Rhizosolenia spp.,Centric diatom,6666.7,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,6666.7,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Navicula cf. 20-40 µm length,Pennate diatom,3333.3,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Chaetoceros (Phaeoceros),Centric diatom,6666.7,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Chaetoceros (Hyalochaete),Centric diatom,3333.3,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Amphisolenia spp.,Dinoflagellate,3333.3,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Tripos muelleri,Dinoflagellate,666.7,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Pleurosigma spp. < 150 µm,Pennate diatom,666.7,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Proboscia spp.,Centric diatom,666.7,phytoplankton
2015-04-15T05:52:12Z,2015/4,2015,4,Climacodium spp.,Centric diatom,666.7,phytoplankton
