FID,id,Route,Latitude,Longitude,SampleDateUTC,Year,Month,Day,Time_24hr,taxon_name,family,genus,species,taxon_group,caab_code,taxon_start_date,taxon_per_m3,phyto_comments,acknowledgements,first_occurrence,parent_taxon_name,training,comments,geom
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aac,34990979,CAGL,-19.9458,148.8517,2018-06-08T23:11:05Z,2018,6,8,23:11:05,Amphisolenia bidentata,Amphisoleniaceae,Amphisolenia,bidentata,Dinoflagellate,52066003,,3333.3,,Rio Tinto Marine,,,,,POINT (148.85171 -19.94578)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aab,34990980,CAGL,-19.9458,148.8517,2018-06-08T23:11:05Z,2018,6,8,23:11:05,Cyanobacteria coccoid chain,,,,Cyanobacteria,,,6666.7,,Rio Tinto Marine,,,,,POINT (148.85171 -19.94578)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aaa,34990981,CAGL,-19.9458,148.8517,2018-06-08T23:11:05Z,2018,6,8,23:11:05,Tripos macroceros type,Ceratiaceae,Tripos,macroceros type,Dinoflagellate,,,3333.3,,Rio Tinto Marine,,,,,POINT (148.85171 -19.94578)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa9,34990982,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Chaetoceros (Phaeoceros),Chaetocerotaceae,Chaetoceros,spp.,Centric diatom,53110903,,3333.3,,Rio Tinto Marine,,,,,POINT (149.15016 -20.12183)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa8,34990984,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Thalassionema nitzschioides,Thalassionemataceae,Thalassionema,nitzschioides,Pennate diatom,53150005,,3333.3,,Rio Tinto Marine,,,,,POINT (149.15016 -20.12183)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa7,34990985,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Tripos trichoceros,Ceratiaceae,Tripos,trichoceros,Dinoflagellate,52030054,,6666.7,,Rio Tinto Marine,,,,,POINT (149.15016 -20.12183)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa6,34990983,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Dictyocha fibula,Dictyochaceae,Dictyocha,fibula,Silicoflagellate,53380002,1/1/2010,3333.3,,Rio Tinto Marine,3/17/2010,Silicoflagellate,Internal training,Valid in SOCPR since 2008-10-01 and AusCPR since 2010-03-01,POINT (149.15016 -20.12183)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa5,34990987,CAGL,-20.3786,149.3774,2018-06-09T02:08:24Z,2018,6,9,2:08:24,Tripos vultur,Ceratiaceae,Tripos,vultur,Dinoflagellate,52030056,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (149.37741 -20.3786)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa4,34990986,CAGL,-20.3786,149.3774,2018-06-09T02:08:24Z,2018,6,9,2:08:24,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (149.37741 -20.3786)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa3,34991075,CAGL,-20.6351,149.6054,2018-06-09T03:37:04Z,2018,6,9,3:37:04,Cyanobacteria coccoid chain,,,,Cyanobacteria,,,6666.7,,Rio Tinto Marine,,,,,POINT (149.60542 -20.63508)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa2,34991074,CAGL,-20.6351,149.6054,2018-06-09T03:37:04Z,2018,6,9,3:37:04,Chaetoceros (Phaeoceros),Chaetocerotaceae,Chaetoceros,spp.,Centric diatom,53110903,,3333.3,,Rio Tinto Marine,,,,,POINT (149.60542 -20.63508)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa1,34991076,CAGL,-20.6351,149.6054,2018-06-09T03:37:04Z,2018,6,9,3:37:04,Nematocysts,,,,Other,99000015,,3333.3,,Rio Tinto Marine,,,,,POINT (149.60542 -20.63508)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2aa0,34991086,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a9f,34991077,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Chaetoceros (Phaeoceros),Chaetocerotaceae,Chaetoceros,spp.,Centric diatom,53110903,,3333.3,,Rio Tinto Marine,,,,,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a9e,34991078,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Cyanobacteria coccoid chain,,,,Cyanobacteria,,,3333.3,,Rio Tinto Marine,,,,,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a9d,34991079,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Dictyocha fibula,Dictyochaceae,Dictyocha,fibula,Silicoflagellate,53380002,1/1/2010,3333.3,,Rio Tinto Marine,3/17/2010,Silicoflagellate,Internal training,Valid in SOCPR since 2008-10-01 and AusCPR since 2010-03-01,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a9c,34991080,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Rhizosolenia bergonii,Rhizosoleniaceae,Rhizosolenia,bergonii,Centric diatom,53105014,,3333.3,,Rio Tinto Marine,,,,,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a9b,34991081,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Thalassionema nitzschioides,Thalassionemataceae,Thalassionema,nitzschioides,Pennate diatom,53150005,,6666.7,,Rio Tinto Marine,,,,,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a9a,34991082,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Thalassionema spp.,Thalassionemataceae,Thalassionema,spp.,Pennate diatom,53150900,,3333.3,,Rio Tinto Marine,,,,,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a99,34991083,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Trichodesmium spp.,Phormidiaceae,Trichodesmium,spp.,Cyanobacteria,70015900,,3333.3,,Rio Tinto Marine,,,,,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a98,34991084,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Tripos biceps,Ceratiaceae,Tripos,biceps,Dinoflagellate,52030005,,3333.3,,Rio Tinto Marine,,,,,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a97,34991085,CAGL,-20.8913,149.8342,2018-06-09T05:05:43Z,2018,6,9,5:05:43,Tripos macroceros type,Ceratiaceae,Tripos,macroceros type,Dinoflagellate,,,3333.3,,Rio Tinto Marine,,,,,POINT (149.8342 -20.89126)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a96,34991278,CAGL,-16.789,145.9095,2018-09-07T00:53:29Z,2018,9,7,0:53:29,Tripos trichoceros,Ceratiaceae,Tripos,trichoceros,Dinoflagellate,52030054,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (145.90955 -16.78899)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a95,34991190,CAGL,-16.789,145.9095,2018-09-07T00:53:29Z,2018,9,7,0:53:29,Tripos muelleri,Ceratiaceae,Tripos,muelleri,Dinoflagellate,52030055,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (145.90955 -16.78899)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a94,34991277,CAGL,-16.789,145.9095,2018-09-07T00:53:29Z,2018,9,7,0:53:29,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (145.90955 -16.78899)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a93,34991279,CAGL,-17.0761,146.069,2018-09-07T02:25:15Z,2018,9,7,2:25:15,Chaetoceros (Phaeoceros),Chaetocerotaceae,Chaetoceros,spp.,Centric diatom,53110903,,3333.3,,Rio Tinto Marine,,,,,POINT (146.069 -17.07609)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a92,34991280,CAGL,-17.0761,146.069,2018-09-07T02:25:15Z,2018,9,7,2:25:15,Nematocysts,,,,Other,99000015,,6666.7,,Rio Tinto Marine,,,,,POINT (146.069 -17.07609)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a91,34991281,CAGL,-17.0761,146.069,2018-09-07T02:25:15Z,2018,9,7,2:25:15,Tripos fusus,Ceratiaceae,Tripos,fusus,Dinoflagellate,52030023,,3333.3,,Rio Tinto Marine,,,,,POINT (146.069 -17.07609)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a90,34991282,CAGL,-17.0761,146.069,2018-09-07T02:25:15Z,2018,9,7,2:25:15,Tripos lineatus,Ceratiaceae,Tripos,lineatus,Dinoflagellate,52030033,,3333.3,,Rio Tinto Marine,,,,,POINT (146.069 -17.07609)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a8f,34991283,CAGL,-17.0761,146.069,2018-09-07T02:25:15Z,2018,9,7,2:25:15,Tripos macroceros type,Ceratiaceae,Tripos,macroceros type,Dinoflagellate,,,3333.3,,Rio Tinto Marine,,,,,POINT (146.069 -17.07609)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a8e,34991284,CAGL,-17.0761,146.069,2018-09-07T02:25:15Z,2018,9,7,2:25:15,Tripos pentagonus,Ceratiaceae,Tripos,pentagonus,Dinoflagellate,52030042,,3333.3,,Rio Tinto Marine,,,,,POINT (146.069 -17.07609)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a8d,34991285,CAGL,-17.0761,146.069,2018-09-07T02:25:15Z,2018,9,7,2:25:15,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.069 -17.07609)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a8c,34991286,CAGL,-17.3978,146.1649,2018-09-07T03:57:01Z,2018,9,7,3:57:01,Noctiluca scintillans,Noctilucaceae,Noctiluca,scintillans,Dinoflagellate,52110001,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.16488 -17.39783)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a8b,34991287,CAGL,-17.3978,146.1649,2018-09-07T03:57:01Z,2018,9,7,3:57:01,Nematocysts,,,,Other,99000015,,3333.3,,Rio Tinto Marine,,,,,POINT (146.16488 -17.39783)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a8a,34991288,CAGL,-17.3978,146.1649,2018-09-07T03:57:01Z,2018,9,7,3:57:01,Tripos muelleri,Ceratiaceae,Tripos,muelleri,Dinoflagellate,52030055,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.16488 -17.39783)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a89,34991289,CAGL,-17.7195,146.2611,2018-09-07T05:28:47Z,2018,9,7,5:28:47,Rhabdonella spp.,Rhabdonellidae,Rhabdonella,spp.,Ciliate,50570900,,3333.3,,Rio Tinto Marine,,,,,POINT (146.2611 -17.71952)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a88,34991290,CAGL,-17.7195,146.2611,2018-09-07T05:28:47Z,2018,9,7,5:28:47,Tripos hexacanthus,Ceratiaceae,Tripos,hexacanthus,Dinoflagellate,52030027,,3333.3,,Rio Tinto Marine,,,,,POINT (146.2611 -17.71952)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a87,34991291,CAGL,-17.7195,146.2611,2018-09-07T05:28:47Z,2018,9,7,5:28:47,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.2611 -17.71952)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a86,34991292,CAGL,-18.0412,146.3577,2018-09-07T07:00:33Z,2018,9,7,7:00:33,Pleurosigma spp. < 150 µm,Pleurosigmataceae,Pleurosigma,spp.,Pennate diatom,53256900,,3333.3,,Rio Tinto Marine,,,,,POINT (146.35766 -18.04117)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a85,34991293,CAGL,-18.0412,146.3577,2018-09-07T07:00:33Z,2018,9,7,7:00:33,Trichodesmium spp.,Phormidiaceae,Trichodesmium,spp.,Cyanobacteria,70015900,,3333.3,,Rio Tinto Marine,,,,,POINT (146.35766 -18.04117)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a84,34991294,CAGL,-18.0412,146.3577,2018-09-07T07:00:33Z,2018,9,7,7:00:33,Unid dinoflagellate 10 - 30 µm,,,,Dinoflagellate,,,3333.3,,Rio Tinto Marine,,,,,POINT (146.35766 -18.04117)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a83,34991295,CAGL,-18.0412,146.3577,2018-09-07T07:00:33Z,2018,9,7,7:00:33,Tripos muelleri,Ceratiaceae,Tripos,muelleri,Dinoflagellate,52030055,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.35766 -18.04117)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a82,34991296,CAGL,-18.0412,146.3577,2018-09-07T07:00:33Z,2018,9,7,7:00:33,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.35766 -18.04117)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a81,34991297,CAGL,-18.3498,146.4874,2018-09-07T08:32:19Z,2018,9,7,8:32:19,Tripos muelleri,Ceratiaceae,Tripos,muelleri,Dinoflagellate,52030055,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.48743 -18.34981)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a80,34991298,CAGL,-18.3498,146.4874,2018-09-07T08:32:19Z,2018,9,7,8:32:19,Amphisolenia bidentata,Amphisoleniaceae,Amphisolenia,bidentata,Dinoflagellate,52066003,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.48743 -18.34981)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a7f,34991299,CAGL,-18.3498,146.4874,2018-09-07T08:32:19Z,2018,9,7,8:32:19,Tripos fusus,Ceratiaceae,Tripos,fusus,Dinoflagellate,52030023,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.48743 -18.34981)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a7e,34991300,CAGL,-18.3498,146.4874,2018-09-07T08:32:19Z,2018,9,7,8:32:19,Tripos massiliensis,Ceratiaceae,Tripos,massiliensis,Dinoflagellate,52030060,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.48743 -18.34981)
soop_auscpr_phyto_flat_map.fid-5f90ce42_17d8bd45142_-2a7d,34991301,CAGL,-18.3498,146.4874,2018-09-07T08:32:19Z,2018,9,7,8:32:19,Tripos trichoceros,Ceratiaceae,Tripos,trichoceros,Dinoflagellate,52030054,,666.7,*Noted as present in the zoop count*,Rio Tinto Marine,,,,,POINT (146.48743 -18.34981)
