FID,id,Route,Latitude,Longitude,SampleDateUTC,Year,Month,Day,Time_24hr,taxon_name,family,genus,species,sex,life_stage,taxon_group,taxon_eco_group,caab_code,aphiaid,taxon_start_date,taxon_per_m3,zoop_comments,acknowledgements,first_occurrence,parent_taxon_name,training,comments,geom
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c14,70100894,CAGL,-19.9458,148.8517,2018-06-08T23:11:05Z,2018,6,8,23:11:05,Oithona spp. j,Oithonidae,Oithona,spp.,JUVENILE,JUVENILE,COPEPOD,Copepod,,106485,9/29/2008,0.6667,,Rio Tinto Marine,,,,,POINT (148.85171 -19.94578)
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c13,70100893,CAGL,-19.9458,148.8517,2018-06-08T23:11:05Z,2018,6,8,23:11:05,Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),Clausocalanidae,Clausocalanus,farrani/jobei,FEMALE,ADULT,COPEPOD,Copepod,,104504,10/12/2009,0.6667,,Rio Tinto Marine,10/12/2012,Clausocalanus spp. f,Internal training,Cant separate the two species routinely so this is used when sizes overlap,POINT (148.85171 -19.94578)
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c12,70100980,CAGL,-19.9458,148.8517,2018-06-08T23:11:05Z,2018,6,8,23:11:05,Chaetognatha,,,,UNDETERMINED,UNDETERMINED,NON-COPEPOD,Chaetognath,,2081,9/29/2008,1.3333,,Rio Tinto Marine,,,,,POINT (148.85171 -19.94578)
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c11,70100890,CAGL,-19.9458,148.8517,2018-06-08T23:11:05Z,2018,6,8,23:11:05,Calanoid j,,,,JUVENILE,JUVENILE,COPEPOD,Copepod,,1100,9/29/2008,3.3333,,Rio Tinto Marine,,,,,POINT (148.85171 -19.94578)
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c10,70100979,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Salpidae sol,Salpidae,,,UNDETERMINED,UNDETERMINED,NON-COPEPOD,Thaliacean,,137217,7/24/2013,0.6667,,Rio Tinto Marine,7/19/2013,Salpidae,Internal training,,POINT (149.15016 -20.12183)
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c0f,70100978,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Prosobranch,,,,UNDETERMINED,UNDETERMINED,NON-COPEPOD,Mollusc,,102,1/1/2010,0.6667,,Rio Tinto Marine,3/23/2010,Gastropod,Internal training,Any non-Limacina gastropd with a whorling shell (shell whorls to right) ,POINT (149.15016 -20.12183)
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c0e,70100873,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Calanoid j,,,,JUVENILE,JUVENILE,COPEPOD,Copepod,,1100,9/29/2008,9.3333,,Rio Tinto Marine,,,,,POINT (149.15016 -20.12183)
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c0d,70100977,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Oikopleuridae,Oikopleuridae,,,UNDETERMINED,UNDETERMINED,NON-COPEPOD,Appendicularian,,103356,9/29/2008,12.6667,,Rio Tinto Marine,,,,,POINT (149.15016 -20.12183)
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c0c,70100896,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Paracalanus aculeatus f,Paracalanidae,Paracalanus,aculeatus,FEMALE,ADULT,COPEPOD,Copepod,,104681,9/29/2008,0.6667,,Rio Tinto Marine,,,,,POINT (149.15016 -20.12183)
soop_auscpr_zoop_flat_map.fid--885a211_17d8bc55c69_-3c0b,70100897,CAGL,-20.1218,149.1502,2018-06-09T00:39:45Z,2018,6,9,0:39:45,Aglaura hemistoma,Rhopalonematidae,Aglaura,hemistoma,UNDETERMINED,UNDETERMINED,NON-COPEPOD,Cnidarian,,117851,7/1/2011,0.6667,,Rio Tinto Marine,11/14/2011,Medusa,External training Mark Gibbons,Not routinely identified,POINT (149.15016 -20.12183)
