date,abundancy,type
8/9/2018,114.6672,zooplankton
9/7/2018,1197.3398,zooplankton
4/17/2019,1189.3377,zooplankton
8/3/2019,3090.0112,zooplankton
11/12/2019,976.0051,zooplankton
2/16/2020,1624.7406,zooplankton
5/21/2020,1520.6691,zooplankton
8/18/2020,1416.0056,zooplankton
12/2/2020,1820.0057,zooplankton
8/9/2018,68666.5,phytoplankton
9/7/2018,247333.3,phytoplankton
4/17/2019,293999,phytoplankton
8/3/2019,979334,phytoplankton
11/12/2019,408666.6,phytoplankton
2/16/2020,1705030.6,phytoplankton
5/21/2020,257999.2,phytoplankton
8/18/2020,409999.6,phytoplankton
12/2/2020,954666,phytoplankton
