year_month,year,month,day,average_water_temp_C
2014/01,2014,01,31,28.44844643
2014/02,2014,02,28,27.79772903
2014/03,2014,03,31,27.33426
2014/04,2014,04,30,26.21354839
2014/05,2014,05,31,25.11246667
2014/06,2014,06,30,24.23946774
2014/07,2014,07,31,24.02727419
2014/08,2014,08,31,24.36263
2014/09,2014,09,30,25.08702903
2015/02,2015,02,28,28.11928
2015/03,2015,03,31,27.22297
2015/04,2015,04,30,25.83772258
2015/05,2015,05,31,24.58468
2015/06,2015,06,30,23.87422581
2015/07,2015,07,31,23.76357097
2015/08,2015,08,31,24.41873667
2015/09,2015,09,30,24.28635806
2015/10,2015,10,31,26.07881
2015/11,2015,11,30,27.20087742
2015/12,2015,12,31,28.06037097
2016/01,2016,01,31,28.99000345
2016/02,2016,02,29,29.10309355
2016/09,2016,09,30,26.61164333
2016/10,2016,10,31,27.34100667
2016/11,2016,11,30,28.02639355
2016/12,2016,12,31,29.1391
2017/01,2017,01,31,29.460875
2017/02,2017,02,28,29.53817742
2017/03,2017,03,31,27.9656
2017/04,2017,04,30,26.16950968
2017/05,2017,05,31,24.73688667
2017/06,2017,06,30,24.65752581
2017/07,2017,07,31,24.80363871
2017/08,2017,08,31,24.72009667
2017/09,2017,09,30,25.88487742
2017/10,2017,10,31,26.83043667
2017/11,2017,11,30,28.10631613
2017/12,2017,12,31,28.44622258
2018/01,2018,01,31,28.77453571
2018/02,2018,02,28,28.37185455
2018/08,2018,08,31,24.79874333
2018/09,2018,09,30,25.47042903
2018/10,2018,10,31,27.04548
2018/11,2018,11,30,28.29035484
2018/12,2018,12,31,28.20467097
2019/01,2019,01,31,28.69852143
2019/02,2019,02,28,28.34986129
2019/03,2019,03,31,27.45267667
2019/04,2019,04,30,26.2570871
2019/05,2019,05,31,24.64918333
2019/06,2019,06,30,23.57573226
2019/07,2019,07,31,23.39631613
2019/08,2019,08,31,24.01128333
2019/09,2019,09,30,25.03148065
2019/10,2019,10,31,26.11994333
2019/11,2019,11,30,27.70366452
2019/12,2019,12,31,28.73114516
2020/01,2020,01,31,29.42444138
2020/02,2020,02,29,29.00322258
2020/03,2020,03,31,28.20210667
2020/04,2020,04,30,26.65952258
2020/05,2020,05,31,25.29114333
2020/06,2020,06,30,24.92448387
2020/07,2020,07,31,24.96981852
2020/10,2020,10,31,27.32607
2020/11,2020,11,30,28.54188065
2020/12,2020,12,31,29.08482258
