sample_date_utc,year_month,year,month,day,taxon_name,taxon_group,taxon_per_m3,plankton_type
2018-06-09T00:39:45Z,2018/6,2018,6,9,Chaetoceros (Phaeoceros),Centric diatom,3333.3,phytoplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Chaetoceros (Phaeoceros),Centric diatom,3333.3,phytoplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Chaetoceros (Phaeoceros),Centric diatom,3333.3,phytoplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Rhizosolenia bergonii,Centric diatom,3333.3,phytoplankton
2018-09-07T02:25:15Z,2018/9,2018,9,7,Chaetoceros (Phaeoceros),Centric diatom,3333.3,phytoplankton
2018-09-07T10:04:05Z,2018/9,2018,9,7,Climacodium frauenfeldianum,Centric diatom,3333.3,phytoplankton
2018-09-07T10:04:05Z,2018/9,2018,9,7,Chaetoceros (Phaeoceros),Centric diatom,3333.3,phytoplankton
2018-09-07T11:35:51Z,2018/9,2018,9,7,Chaetoceros (Phaeoceros),Centric diatom,3333.3,phytoplankton
2018-09-07T11:35:51Z,2018/9,2018,9,7,Leptocylindrus spp.,Centric diatom,3333.3,phytoplankton
2018-09-07T13:07:37Z,2018/9,2018,9,7,Chaetoceros (Hyalochaete),Centric diatom,3333.3,phytoplankton
2018-09-07T13:07:37Z,2018/9,2018,9,7,Rhizosolenia spp.,Centric diatom,20000,phytoplankton
2018-09-07T14:39:23Z,2018/9,2018,9,7,Coscinodiscus spp. 400-500 µm,Centric diatom,666.7,phytoplankton
2018-09-07T16:11:09Z,2018/9,2018,9,7,Coscinodiscus spp. 300-400 µm,Centric diatom,666.7,phytoplankton
2018-09-07T16:11:09Z,2018/9,2018,9,7,Rhizosolenia spp.,Centric diatom,6666.7,phytoplankton
2018-09-07T17:42:55Z,2018/9,2018,9,7,Bacteriastrum spp.,Centric diatom,6666.7,phytoplankton
2018-09-07T17:42:55Z,2018/9,2018,9,7,Rhizosolenia spp.,Centric diatom,3333.3,phytoplankton
2018-09-07T19:14:41Z,2018/9,2018,9,7,Guinardia striata,Centric diatom,3333.3,phytoplankton
2018-09-07T19:14:41Z,2018/9,2018,9,7,Bacteriastrum spp.,Centric diatom,6666.7,phytoplankton
2018-09-07T20:46:27Z,2018/9,2018,9,7,Pseudosolenia calcar-avis,Centric diatom,3333.3,phytoplankton
2018-09-07T20:46:27Z,2018/9,2018,9,7,Rhizosolenia spp.,Centric diatom,3333.3,phytoplankton
2018-09-08T01:21:45Z,2018/9,2018,9,8,Climacodium frauenfeldianum,Centric diatom,3333.3,phytoplankton
2018-09-08T01:21:45Z,2018/9,2018,9,8,Rhizosolenia bergonii,Centric diatom,3333.3,phytoplankton
2018-09-08T04:25:17Z,2018/9,2018,9,8,Chaetoceros (Phaeoceros),Centric diatom,3333.3,phytoplankton
2018-09-07T05:28:47Z,2018/9,2018,9,7,Rhabdonella spp.,Ciliate,3333.3,phytoplankton
2018-09-07T13:07:37Z,2018/9,2018,9,7,Rhabdonella spp.,Ciliate,3333.3,phytoplankton
2018-09-08T04:25:17Z,2018/9,2018,9,8,Coccolithophore cf.,Coccolithophore,6666.7,phytoplankton
2018-06-08T23:11:05Z,2018/6,2018,6,8,Cyanobacteria coccoid chain,Cyanobacteria,6666.7,phytoplankton
2018-06-09T03:37:04Z,2018/6,2018,6,9,Cyanobacteria coccoid chain,Cyanobacteria,6666.7,phytoplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Cyanobacteria coccoid chain,Cyanobacteria,3333.3,phytoplankton
2018-06-09T05:05:43Z,2018/6,2018,6,9,Trichodesmium spp.,Cyanobacteria,3333.3,phytoplankton
2018-09-07T07:00:33Z,2018/9,2018,9,7,Trichodesmium spp.,Cyanobacteria,3333.3,phytoplankton
2018-09-07T11:35:51Z,2018/9,2018,9,7,Trichodesmium spp.,Cyanobacteria,3333.3,phytoplankton
2018-09-07T19:14:41Z,2018/9,2018,9,7,Trichodesmium spp.,Cyanobacteria,3333.3,phytoplankton
2018-09-07T20:46:27Z,2018/9,2018,9,7,Trichodesmium spp.,Cyanobacteria,3333.3,phytoplankton
2018-09-07T22:18:13Z,2018/9,2018,9,7,Trichodesmium spp.,Cyanobacteria,3333.3,phytoplankton
2018-09-08T01:21:45Z,2018/9,2018,9,8,Trichodesmium spp.,Cyanobacteria,10000,phytoplankton
2018-09-08T02:53:31Z,2018/9,2018,9,8,Trichodesmium spp.,Cyanobacteria,3333.3,phytoplankton
2018-06-08T23:11:05Z,2018/6,2018,6,8,Amphisolenia bidentata,Dinoflagellate,3333.3,phytoplankton
2018-06-08T23:11:05Z,2018/6,2018,6,8,Tripos macroceros type,Dinoflagellate,3333.3,phytoplankton
