date,abundancy,type,,
2018-08-09,114.6672,zooplankton,,
2018-09-07,1197.3398,zooplankton,,
2019-04-17,1189.3377,zooplankton,,
2019-08-03,3090.0112,zooplankton,,
2019-11-12,976.0051,zooplankton,,
2020-02-16,1624.7406,zooplankton,,
2020-05-21,1520.6691,zooplankton,,
2020-08-18,1416.0056,zooplankton,,
2020-12-02,1820.0057,zooplankton,,
2018-08-09,68666.5,phytoplankton,,
2018-09-07,247333.3,phytoplankton,,
2019-04-17,293999,phytoplankton,,
2019-08-03,979334,phytoplankton,,
2019-11-12,408666.6,phytoplankton,,
2020-02-16,1705030.6,phytoplankton,,
2020-05-21,257999.2,phytoplankton,,
2020-08-18,409999.6,phytoplankton,,
2020-12-02,954666,phytoplankton,,
,,,,
,,,,
