TITLE,,,,
AIMS - Weather Stations data export,,,,
,,,,
DATE CREATED,,,,
2021-11-18T09:19:33,,,,
,,,,
ATTRIBUTION,,,,
http://www.aims.gov.au/docs/cc-attribution.html,,,,
,,,,
DISCLAIMER,,,,
http://www.aims.gov.au/docs/disclaimer.html,,,,
,,,,
PRIVACY,,,,
http://www.aims.gov.au/docs/privacy-policy.html,,,,
,,,,
COPYRIGHT,,,,
http://www.aims.gov.au/docs/cc-copyright.html,,,,
,,,,
COMMENT,,,,
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. ",,,,
,,,,
DATA BETWEEN DATES,,,,
FROM DATE,2012-05-01T00:00:00+1000,,,
THRU DATE,2021-11-01T00:00:00+1000,,,
,,,,
AGGREGATION PERIOD,,,,
MONTH,,,,
,,,,
AGGREGATION FUNCTIONS,,,,
AVG,,,,
,,,,
DATA LEVELS,,,,
LEVEL0,,,,
,,,,
DEPLOYMENT INFORMATION,,,,
NAME,Agincourt Reef Number 3 Water Temperature (degrees celsius),,,
PARAMETER,Water Temperature,,,
UOM,degrees celsius,,,
TIME ZONE,10,,,
LAT DEPTH,6,,,
MSL DEPTH,6,,,
OWNER,Australian Institute of Marine Science (AIMS),,,
INSTRUMENT,MEA2173 SDI-12 Smart Temperature Sensor,,,
SERIAL NUMBER,1117,,,
FROM DATE DEPLOYMENT 1,2012-05-18T01:40:00,,,
THRU DATE FOR DEPLOYMENT 1,2015-03-03T00:00:00,,,
LATITUDE FOR DEPLOYMENT 1,-15.98278,,,
LONGITUDE FOR DEPLOYMENT 1,145.82251,,,
DEPTH FOR DEPLOYMENT 1,6,,,
INSTRUMENT,MEA2173 SDI-12 Smart Temperature Sensor,,,
SERIAL NUMBER,6,,,
FROM DATE DEPLOYMENT 2,2015-03-03T00:00:00,,,
THRU DATE FOR DEPLOYMENT 2,2016-09-29T00:00:00,,,
LATITUDE FOR DEPLOYMENT 2,-15.98278,,,
LONGITUDE FOR DEPLOYMENT 2,145.82251,,,
DEPTH FOR DEPLOYMENT 2,6,,,
INSTRUMENT,MEA2173 SDI-12 Smart Temperature Sensor,,,
SERIAL NUMBER,9,,,
FROM DATE DEPLOYMENT 3,2016-09-29T00:00:00,,,
THRU DATE FOR DEPLOYMENT 3,2018-08-22T00:00:00,,,
LATITUDE FOR DEPLOYMENT 3,-15.98278,,,
LONGITUDE FOR DEPLOYMENT 3,145.82251,,,
DEPTH FOR DEPLOYMENT 3,6,,,
INSTRUMENT,MEA2173 SDI-12 Smart Temperature Sensor,,,
SERIAL NUMBER,17,,,
FROM DATE DEPLOYMENT 4,2018-08-22T00:00:00,,,
THRU DATE FOR DEPLOYMENT 4,2020-08-26T00:00:00,,,
LATITUDE FOR DEPLOYMENT 4,-15.98278,,,
LONGITUDE FOR DEPLOYMENT 4,145.82251,,,
DEPTH FOR DEPLOYMENT 4,6,,,
INSTRUMENT,MEA2173 SDI-12 Smart Temperature Sensor,,,
SERIAL NUMBER,3513,,,
FROM DATE DEPLOYMENT 5,2020-08-26T00:00:00,,,
THRU DATE FOR DEPLOYMENT 5,2021-04-15T00:00:00,,,
LATITUDE FOR DEPLOYMENT 5,-15.98278,,,
LONGITUDE FOR DEPLOYMENT 5,145.82251,,,
DEPTH FOR DEPLOYMENT 5,6,,,
INSTRUMENT,MEA2173 SDI-12 Smart Temperature Sensor,,,
SERIAL NUMBER,355,,,
